"teamid","hr","yearid","fullname"
"COL",49,2001,"Todd Helton"
"DET",58,1938,"Hank Greenberg"
"DTN",12,1887,"Dan Brouthers"
"ELI",0,1873,"Eddie Booth"
"FLO",42,1996,"Gary Sheffield"
"FW1",1,1871,"Frank Sellman"
"HAR",1,1877,"Tom York"
"HOU",47,2000,"Jeff Bagwell"
"HR1",1,1875,"Art Allison"
"IN1",2,1878,"Russ McKelvy"
"IN2",6,1884,"John Kerins"
"IN3",18,1889,"Jerry Denny"
"IND",8,1914,"Benny Kauff"
"KC1",38,1958,"Bob Cerv"
"KC2",5,1889,"Jim Burns"
"KCA",48,2021,"Salvador Perez"
"KCF",15,1914,"Duke Kenworthy"
"KCN",4,1886,"Mox McQuery"
"KCU",1,1884,"Bob Black"
"KEO",0,1875,"Joe Miller"
"LAA",46,2021,"Shohei Ohtani"
"LAN",49,2001,"Shawn Green"
"LS1",3,1877,"Orator Shafer"
"LS2",9,1885,"Pete Browning"
"LS3",10,1898,"Honus Wagner"
"MIA",59,2017,"Giancarlo Stanton"
"MID",1,1872,"John Clapp"
"MIL",50,2007,"Prince Fielder"
"MIN",49,1964,"Harmon Killebrew"
"ML1",47,1953,"Eddie Mathews"
"ML2",1,1878,"Jake Goodman"
"ML3",3,1891,"Jack Carney"
"ML4",45,1979,"Gorman Thomas"
"MLA",8,1901,"John Anderson"
"MLU",0,1884,"Henry Porter"
"MON",44,2000,"Vladimir Guerrero"
"NEW",5,1915,"Jimmy Esmond"
"NH1",2,1875,"Harry Luff"
"NY1",51,1955,"Willie Mays"
"NY2",4,1875,"Joe Start"
"NY3",2,1876,"Jimmy Hallinan"
"NY4",9,1884,"Dave Orr"
"NYA",62,2022,"Aaron Judge"
"NYN",53,2019,"Pete Alonso"
"NYP",14,1890,"Roger Connor"
"OAK",52,1996,"Mark McGwire"
"PH1",4,1875,"George Hall"
"PH2",3,1873,"Levi Meyerle"
"PH3",0,1875,"Sam Field"
"PH4",19,1889,"Harry Stovey"
"PHA",58,1932,"Jimmie Foxx"
"PHI",58,2006,"Ryan Howard"
"PHN",5,1876,"George Hall"
"PHP",10,1890,"Billy Shindle"
"PHU",4,1884,"Joe Flynn"
"PIT",54,1949,"Ralph Kiner"
"PRO",8,1883,"Jerry Denny"
"PT1",5,1886,"Fred Carroll"
"PTF",11,1914,"Ed Lennox"
"PTP",9,1890,"Jocko Fields"
"RC1",2,1871,"Gat Stires"
"RC2",5,1890,"Jimmy Knowles"
"RIC",3,1884,"Bill Schenck"
"SDN",50,1998,"Greg Vaughn"
"SE1",25,1969,"Don Mincher"
"SEA",56,1998,"Ken Griffey"
"SFN",73,2001,"Barry Bonds"
"SL1",0,1875,"Trick McSorley"
"SL2",0,1875,"Bill Hague"
"SL3",1,1877,"Joe Battin"
"SL4",16,1889,"Charlie Duffee"
"SL5",9,1886,"Jerry Denny"
"SLA",39,1922,"Ken Williams"
"SLF",7,1914,"Jack Tobin"
"SLN",70,1998,"Mark McGwire"
"SLU",13,1884,"Fred Dunlap"
"SPU",0,1884,"Jim Brown"
"SR1",1,1879,"John Richmond"
"SR2",3,1890,"Pat Friel"
"TBA",46,2007,"Carlos Pena"
"TEX",57,2002,"Alex Rodriguez"
"TL1",3,1884,"Tony Mullane"
"TL2",6,1890,"Perry Werden"
"TOR",54,2010,"Jose Bautista"
"TRN",4,1882,"Roger Connor"
"TRO",4,1871,"Lip Pike"
"WAS",46,2006,"Alfonso Soriano"
"WIL",2,1884,"Charlie Bastian"
"WOR",6,1880,"Harry Stovey"
"WS1",42,1959,"Harmon Killebrew"
"WS2",48,1969,"Frank Howard"
"WS3",2,1871,"Doug Allison"
"WS4",0,1872,"Dennis Coughlin"
"WS5",1,1873,"John Glenn"
"WS6",0,1875,"Walter Terry"
"WS7",2,1884,"Frank Fennelly"
"WS8",19,1887,"Billy O'Brien"
"WS9",4,1891,"Frank Foreman"
"WSU",2,1884,"Bill Wise"
